Words,Synonyms,Synonyms1,In Spanish
Abandon,Desert, forsake,Abandonar
Alleviate,Abate, relieve,Aliviar
Compress,Abbreviate, shrink,Comprimir
Offensive,Abhorrent, obnoxious,Ofensiva
Abolish,Abrogate, annual,Abolir
Hasty,Abrupt, impetuous,Apresurado
Genuine,Absolute, factual,Auténtico
Lavish,Abundant, excessive,Prodigar
Approve,Accept, ratify,Aprobar
Obtain,Access, inherit,Obtener
Celebrated,Acclaimed, lionized,Celebrado
Achieve,Accomplish, attain,Lograr
Liable,Accountable, bound,Responsable
Authentic,Accurate, credible,Auténtico
Correct,Accurate, right,Correcto
Invective,Accusation, censure,Invectiva
Gain,Acquire, obtain,Ganar
Busy,Active, engaged,Ocupado
Reason,Acumen, bounds,Razón
Cunning,Acute, smart,Astuto
Axiom,Adage, truism,Axioma
Confess,Admit, acknowledge,Confesar
Honor,Adoration, reverence,Honor
Bold,Adventurous,,Audaz
Calamity,Adversity, misfortune,Calamidad
Concur,Agree, cooperate,Concurrir
Consent,Agree, permit,Consentimiento
Concord,Agreement, accord,Concordia
Accord,Agreement, harmony,Acuerdo
Help,Aid, assist,Ayudar
Identical,Alike, duplicate,Idéntico
Mitigate,Alleviate, relieve,Mitigar
Insinuate,Allude, hint,Insinuar
Bewitching,Alluring, charming,Fascinante
Generosity,Altruism, bounty,Generosidad
Constantly,Always, continually,Constantemente
Eternal,Always, perpetual,Eterno
Rectify,Amend, remedy,Rectificar
Plentiful,Ample, enough,Abundante
Sufficient,Ample, enough,Suficiente
Abundant,Ample, sufficient,Abundante
Recreation,Amusement, pleasure,Recreación
Comical,Amusing, funny,Cómico
Furious,Angry, enraged,Furioso
Irritate,Annoy, agitate,Irritar
Rescind,Annul, abrogate,Rescindir
Hostile,Antagonistic, aggressive,Hostil
Tenement,Apartment, digs,Vivienda
Morbid,Appalling, awful,Mórbido
Evident,Apparent, obvious,Evidente
Mollify,Appease, assuage,Apaciguar
Pacify,Appease, chasten,Pacificar
Seize,Apprehend, grab,Aprovechar
Capture,Apprehend, seize,Capturar
Ratify,Approve, confirm,Ratificar
Obscure,Arcane, vague,Oscuro
Dry,Arid, parched,Seco
Excite,Arouse, provoke,Excitar
Vain,Arrogant, egoistic,Vano
Proud,Arrogant, elated,Orgulloso
Haughty,Arrogant, pompous,Arrogante
Ambitious,Aspiring, driven,Ambicioso
Throng,Assembly, crowd,Multitud
Trenchant,Assertive, forceful,Incisivo
Aggressive,Assertive, pushy,Agresivo
Baffle,Astound, faze,Deflector
Lure,Attract, entice,Señuelo
Impute,Attribute, ascribe,Imputar
Amplify,Augment, deepen,Amplificar
Bleak,Austere, blank,Desolado
Retaliate,Avenge, revenge,Tomar represalias
Conscious,Aware, cognizant,Consciente
Acumen,Awareness, brilliance,Perspicacia
Naughty,Bad, disobedient,Travieso
Evil,Bad, wrong,Mal
Noxious,Baneful, injurious,Nocivo
Desolate,Barren, forsaken,Solitario
Sterile,Barren, impotent,Estéril
Barrier,Barricade, obstacle,Barrera
Bottom,Base, foundation,Fondo
Shy,Bashful, timid,Tímido
Coarse,Bawdy, boorish,Grueso
Winsome,Beautiful, comely,Atractivo
Befogged,Becloud, dim,Empañado
Open,Begin, unfold,Abierto
Amateur,Beginner, novice,Aficionado
Tyro,Beginner, riotous,Principiante
Birth,Beginning,,Nacimiento
Plausible,Believable, reasonable,Plausible
Benevolent,Benign, generous,Benevolente
Prejudiced,Biased, opinionated,Parcial
Large,Big, massive,Grande
Intolerant,Bigoted, prejudiced,Intolerante
Denounce,Blame, censure,Denunciar
Combine,Bled, unite,Combinar
Stain,Blemish, tarnish,Mancha
Candid,Blunt, bluff,Sincero
Dull,Blunt, dreary,Tedioso
Rowdy,Boisterous, rambunctious,Ruidoso
Daring,Bold, audacious,Atrevido
Confident,Bold, undaunted,Seguro
Audacity,Boldness, courage,Audacia
Uncouth,Boorish, clownish,Tosco
Monotonous,Boring, tedious dreary,Monótono
Valor,Bravery, prowess,Valor
Courage,Bravery, valor,Coraje
Brittle,Breakable, crisp,Frágil
Intelligent,Bright, sensible,Inteligente
Compact,Bunched, thick,Compacto
Nullify,Cancel, annual,Anular
Frank,Candid, straightforward,Franco
Calculating,Canny, devious,Calculador
Able,Capable, qualified,Poder
Competent,Capable, qualified,Competente
Negligent,Careless, derelict,Negligente
Destructive,Catastrophic, pernicious,Destructivo
Vigilant,Cautious, alert,Vigilante
Adherent,Follower, disciple,Adherente
After,Following, next,Después
Subsequent,Following, succeeding,Subsecuente
